country,sex,year,ASIRsmooth
Norway,1,1993,1.551913494
Norway,1,1994,1.503643247
Norway,1,1995,1.51636445
Norway,1,1996,1.549386743
Norway,1,1997,1.595038967
Norway,1,1998,1.643571585
Norway,1,1999,1.655582023
Norway,1,2000,1.657203516
Norway,1,2001,1.679046342
Norway,1,2002,1.746651821
Norway,1,2003,1.817345195
Norway,1,2004,1.860004609
Norway,1,2005,1.896890882
Norway,1,2006,1.936364181
Norway,1,2007,1.954415007
Norway,1,2008,1.985567141
Norway,1,2009,2.065615951
Norway,1,2010,2.169896874
Norway,1,2011,2.303880122
Norway,1,2012,2.477385182
Norway,1,2013,2.672561802
Norway,1,2014,2.880196339
Norway,1,2015,3.106124113
Norway,1,2016,3.342649096
Norway,1,2017,3.593834264
Philippines,1,1983,3.843639935
Philippines,1,1984,3.606596753
Philippines,1,1985,3.409552159
Philippines,1,1986,3.253241562
Philippines,1,1987,3.132406098
Philippines,1,1988,3.05925795
Philippines,1,1989,3.017020472
Philippines,1,1990,2.971929046
Philippines,1,1991,2.951684672
Philippines,1,1992,3.022186897
Philippines,1,1993,3.103751389
Philippines,1,1994,3.082306246
Philippines,1,1995,3.10432054
Philippines,1,1996,3.116160953
Philippines,1,1997,3.096415638
Philippines,1,1998,3.080001509
Philippines,1,1999,3.009681043
Philippines,1,2000,2.960997275
Philippines,1,2001,3.06132713
Philippines,1,2002,3.19465296
Philippines,1,2003,3.359708808
Philippines,1,2004,3.580108606
Philippines,1,2005,3.776122993
Philippines,1,2006,3.79218334
Philippines,1,2007,3.743361196
Philippines,1,2008,3.590284696
Philippines,1,2009,3.431753653
Philippines,1,2010,3.340135455
Philippines,1,2011,3.266870084
Philippines,1,2012,3.274246433
Philippines,1,2013,3.300419742
Philippines,1,2014,3.324184083
Philippines,1,2015,3.363496276
Philippines,1,2016,3.405438312
Philippines,1,2017,3.454565788
Poland,1,1999,0.78402811
Poland,1,2000,1.139072168
Poland,1,2001,1.47710541
Poland,1,2002,1.757121753
Poland,1,2003,2.224533471
Poland,1,2004,1.850043235
Poland,1,2005,1.472614744
Poland,1,2006,1.627486481
Poland,1,2007,1.6838769
Poland,1,2008,1.70671627
Poland,1,2009,1.630896389
Poland,1,2010,2.531150635
Poland,1,2011,2.759019135
Poland,1,2012,2.685953357
Poland,1,2013,2.121237332
Poland,1,2014,2.983643458
Poland,1,2015,3.467281503
Poland,1,2016,3.454172624
Poland,1,2017,2.975346384
Qatar,1,2003,1.908304167
Qatar,1,2004,2.396564626
